2;49: 1
5_26_30_32;41_47_64_66: 1
5_26_30_43;23_25_32_52: 3
5_26_32_38;2_23_30_37: 1
5_26_34_55;32_43_52_56: 1
5_27_30_38;23_25_32_52: 1
5_29_30_32;25_46_50_60: 1
5_30_32_51;2_43_45_54: 1
5_30_34_45;23_25_32_52: 1
5_30_34_55;23_32_52_56: 1
5_30_38_55;3_23_32_33: 1
5_30_38_57;25_32_49_60: 1
5_30_45_51;22_32_52_56: 1
5_30_45_51;23_25_32_52: 3
5_30_46_60;23_25_32_52: 1
5_30_55_57;23_25_32_52: 4
5_30_55_57;25_32_43_46: 1
5_30_55_57;32_33_47_60: 1
5_30_55_57;32_45_51_52: 1
5_30_55_57;32_47_49_60: 1
5_34_38_55;3_37_41_63: 1
5_39_41_42;2_15_47_60: 1
5_39_48_51;23_25_32_52: 1
5_42_47_54;26_30_38_53: 1
5_55;15: 1
6_14_24_31;23_25_32_42: 1
6_16_36_47;5_23_24_30: 1
6_20_31_50;16_35_44_52: 1
6_24_43_62;14_23_25_48: 1
6_25_47_52;23_30_32_37: 1
6_30_31_51;23_32_52_60: 1
6_30_38_51;23_32_52_60: 1
6_31_39_47;14_27_30_38: 1
6_39_51_52;31_46_54_60: 1
14_22_24_58;23_25_32_52: 1
14_22_25_51;2_35_43_63: 1
14_23_25_32;5_30_55_57: 1
14_24_31_43;23_25_32_36: 1
14_24_31_43;23_25_32_45: 2
14_24_31_43;23_25_32_52: 1
14_24_31_47;27_30_46_60: 1
14_30_43_54;23_25_32_52: 1
14_30_47_66;23_25_32_52: 1
14_30_55_57;23_25_32_49: 1
14_31_42_47;23_32_33_43: 1
14_43_52_66;25_30_32_46: 1
14_47_52_56;2_23_32_45: 1
15;36: 1
15_16_30_38;23_25_32_52: 1
15_16_30_47;23_25_32_52: 2
15_16_32_47;25_30_38_46: 1
15_16_32_47;25_30_52_58: 1
15_23_32_45;6_25_31_43: 1
15_23_32_45;24_25_31_43: 1
15_23_32_45;25_46_47_60: 1
15_23_32_53;21_25_30_46: 1
15_25_39_46;23_30_32_37: 1
15_30_37_46;23_25_32_52: 1
15_30_45_66;23_25_32_52: 1
15_32_44_52;25_30_46_60: 1
15_32_44_52;27_34_38_64: 1
15_35_38_46;23_30_32_37: 1
16;26: 1
16;60: 1
16_22_23_32;25_30_46_52: 1
16_22_23_32;25_30_52_60: 1
16_22_23_32;30_38_64_66: 1
16_22_25_30;23_32_33_47: 1
16_22_25_30;32_33_38_47: 1
16_22_25_32;2_43_54_63: 1
16_22_25_32;15_30_36_47: 1
16_22_25_32;30_31_38_42: 1
16_22_25_32;30_38_52_66: 1
16_22_25_32;30_38_55_57: 1
16_22_25_32;30_46_52_60: 1
16_22_25_52;23_32_33_47: 1
16_22_26_30;23_25_32_52: 1
16_22_30_37;23_25_32_52: 2
16_22_30_38;24_45_54_58: 1
16_22_30_38;41_42_54_56: 1
16_22_30_41;23_25_32_52: 1
16_22_30_46;23_25_52_60: 1
16_22_30_52;23_25_39_46: 1
16_22_30_60;23_25_32_52: 1
16_22_30_66;23_32_52_60: 1
16_22_37_54;23_25_32_52: 1
16_22_37_54;25_30_38_46: 1
16_22_64_66;23_25_32_52: 1
16_23_25_30;32_43_52_56: 1
16_23_25_32;2_22_54_63: 1
16_23_25_32;30_45_46_60: 1
16_23_25_39;32_47_52_56: 1
16_23_25_53;39_51_52_56: 1
16_23_32_43;2_30_37_41: 1
16_23_32_43;3_25_52_56: 1
16_23_32_43;25_30_41_46: 1
16_23_32_46;25_41_60_66: 1
16_23_32_46;25_47_54_60: 1
16_23_32_47;3_25_52_66: 1
16_23_32_47;22_25_52_60: 1
16_23_32_47;25_30_38_46: 1
16_23_32_47;25_30_41_46: 1
